Numero_Ata;UASG_Gerenciadora;Processo_Compra;Modalidade;Data_Assinatura;Vigencia_Inicial;Vigencia_Final;Status_Vigencia;Valor_Total_Ata_R$;Fornecedores_Registrados;Qtd_Itens;Objeto;Link_PNCP
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"Pregão";"26/08/2025";"29/08/2025";"29/08/2027";"Vigente (Prorrogada PNCP)";"689.604,00";"MITREN - SISTEMAS E MONTAGENS VEICULARES S.A. (92.249.150/0001-51) | SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA (10.228.279/0001-19)";"11";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380).";"https://pncp.gov.br/app/atas/00394494000136/2025/670/1"
"00041/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90013/2025";"Pregão";"21/08/2025";"27/08/2025";"27/08/2027";"Vigente (Prorrogada PNCP)";"3.875.929,20";"VOLUS INSTITUICAO DE PAGAMENTO LTDA (03.817.702/0001-50) | SSG SOLUCOES LTDA (46.973.126/0001-43) | TRIEL-HT INDUSTRIAL E PARTICIPACOES S/A (89.422.042/0001-24)";"2";"Registro de preços para a eventual aquisição de apetrechos táticos e de campanha, especificado(s) no(s) item(ns) 5 e 6 constantes da tabela anexa ao item 1.1 do Termo de Referência, anexo I do edital de Licitação nº 90013/2025.";"https://pncp.gov.br/app/atas/00394494000136/2025/450/5"
"00048/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90036/2024";"Pregão";"15/08/2025";"19/08/2025";"19/08/2027";"Vigente (Prorrogada PNCP)";"23.592.370,44";"T L SOLUCOES TECNOLOGICAS LTDA (49.490.183/0001-60) | ?eská zbrojovka a.s. ()";"1";"registro de preços para a eventual aquisição de miras optrônicas para atender a demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes, especificados no Termo de Referência, anexo I do edital de Licitação nº 90036/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1115/1"
"00045/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90013/2025";"Pregão";"15/08/2025";"19/08/2025";"19/08/2027";"Vigente (Prorrogada PNCP)";"5.395.928,00";"PEDROSO NEGOCIOS GOVERNAMENTAIS PRODUTOS E SERVICOS LTDA (51.118.112/0001-82) | FSG COMERCIO E CONSULTORIA LICITATORIA LTDA (54.974.490/0001-56)";"1";"Registro de preços para a eventual aquisição de apetrechos táticos e de campanha, especificado(s) no(s) item(ns) 1 constante da tabela anexa ao item 1.1 do Termo de Referência, anexo I do edital de Licitação nº 90013/2025";"https://pncp.gov.br/app/atas/00394494000136/2025/450/4"
"00041/2026";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA";"1331/2025";"Pregão - Eletrônico";"17/08/2026";"18/08/2026";"18/08/2027";"Vigente (Contratos.gov.br)";"204.643.733,07";"VOLUS INSTITUICAO DE PAGAMENTO LTDA (03.817.702/0001-50) | SSG SOLUCOES LTDA (46.973.126/0001-43) | TRIEL-HT INDUSTRIAL E PARTICIPACOES S/A (89.422.042/0001-24)";"1";"Registro de Preços para aquisição de veículos Auto Busca Salvamento Médio (ABSM) para atender demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes";"https://pncp.gov.br/app/atas/00394494000136/2025/1331/1"
"00038/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"Pregão";"08/08/2025";"11/08/2025";"10/08/2027";"Vigente (Prorrogada PNCP)";"43.759.142,55";"LEICA DO BRASIL IMPORTACAO E COMERCIO LTDA. (52.201.456/0001-13) | ULTRAMAR USA ()";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/219/2"
"00039/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"Pregão";"31/07/2025";"05/08/2025";"05/08/2027";"Vigente";"449.178,15";"MITREN - SISTEMAS E MONTAGENS VEICULARES S.A. (92.249.150/0001-51) | OBJECT COMERCIO DE EQUIPAMENTOS LTDA (25.462.154/0001-26) | ESCOLA DE AVIACAO CIVIL ASAS ROTATIVAS LTDA (03.871.566/0003-49) | EFAI - ESCOLA DE AVIACAO CIVIL LTDA (03.622.266/0001-64)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/219/1"
"00046/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90034/2024";"Pregão";"31/07/2025";"04/08/2025";"04/08/2027";"Vigente";"1.537.579,60";"NW DRONES COMERCIO E MANUTENCAO DE DRONES LTDA (32.907.435/0001-00) | O.FILIZZOLA & CIA LTDA (61.182.424/0001-09)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de controle de distúrbios civis (CDC), especificada no item 2, constante(s) da tabela anexa ao item 1.1 do Termo de Referência (29988158), anexo I do edital de Licitação nº 90034/2024 (30013155) que é parte integrante desta Ata, assim como a proposta cujo preço tenha sido registrado (32027921), independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1398/5"
"00047/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90034/2024";"Pregão";"31/07/2025";"04/08/2025";"04/08/2027";"Vigente";"1.374.548,30";"COMPANHIA BRASILEIRA DE CARTUCHOS (57.494.031/0001-63) | COMPANHIA BRASILEIRA DE CARTUCHOS (57.494.031/0010-54) | ARBJI COMERCIO DE ELETRONICOS E COMPONENTES LTDA (04.730.121/0001-40)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de controle de distúrbios civis (CDC), especificada no item 3, constante(s) da tabela anexa ao item 1.1 do Termo de Referência (29988158), anexo I do edital de Licitação nº 90034/2024 (30013155) que é parte integrante desta Ata, assim como a proposta cujo preço tenha sido registrado (32080222), independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1398/6"
"00040/2026";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA";"1665/2025";"Pregão - Eletrônico";"28/07/2026";"30/07/2026";"30/07/2027";"Vigente (Contratos.gov.br)";"98.507.080,82";"TRIEL-HT INDUSTRIAL E PARTICIPACOES S/A (89.422.042/0001-24) | TORINO INFORMATICA LTDA.. (03.619.767/0005-15) | ESCOLA DE AVIACAO CIVIL ASAS ROTATIVAS LTDA (03.871.566/0003-49) | EFAI - ESCOLA DE AVIACAO CIVIL LTDA (03.622.266/0001-64)";"1";"Registro de preços para contratação de serviço especializado de formação de pilotos de aeronaves.";"https://pncp.gov.br/app/atas/00394494000136/2025/1665/2"
