Numero_Ata;UASG_Gerenciadora;Processo_Compra;Data_Assinatura;Vigencia_Inicial;Vigencia_Final;CNPJ_Fornecedor;Razao_Social_Fornecedor;Numero_Item;Descricao_Item;Qtd_Originaria_Edital;Qtd_Homologada_Vigente;Valor_Unitario_R$;Valor_Total_Item_R$;Objeto_Ata
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"92.249.150/0001-51";"MITREN - SISTEMAS E MONTAGENS VEICULARES S.A.";"00001";"CAMINHÃO, TIPO PIPA, POTÊNCIA MOTOR 230 CV, MOTOR DIESEL, CAPACIDADE VOLUMÉTRICA 12.000 L";"206";"206";"2.566.192,35";"528.635.624,10";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00002";"ENSAIO DE EFICIÊNCIA ENERGÉTICA";"60";"60";"800,00";"48.000,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00004";"AVALIAÇÃO DE ERGONOMIA";"60";"60";"415,00";"24.900,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00006";"ENSAIO DE EFICIÊNCIA DE FRENAGEM E AVALIAÇÃO DE PNEUS";"60";"60";"1.328,00";"79.680,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00008";"ENSAIO/TESTE SLALOM";"60";"60";"1.152,00";"69.120,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00010";"ENSAIO DE CIRCUITO URBANO";"60";"60";"1.476,00";"88.560,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00001";"ENSAIO DE VERIFICAÇÃO DE CARACTERÍSTICAS GERAIS E METROLOGIA";"60";"60";"700,00";"42.000,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00003";"ENSAIO DE RESISTÊNCIA GLOBAL";"60";"60";"1.170,00";"70.200,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00005";"ENSAIO DE ACELERAÇÃO";"60";"60";"1.300,00";"78.000,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00007";"ENSAIO/TESTE DO ALCE";"60";"60";"1.152,00";"69.120,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
